1,2,4,3,3,4,4,2,4,2,4,2,1,1,2,1,2,1,2,1,NA,1,1,1
2,2,NA,4,3,3,3,3,4,3,3,3,3,3,4,2,1,3,3,2,1,2,1,1
3,1,1,3,3,2,1,2,3,4,4,2,NA,4,3,3,3,2,2,3,2,2,1,1
4,3,1,2,3,4,3,3,4,2,4,2,3,2,2,2,2,2,2,1,1,1,2,1
5,3,1,2,1,4,3,2,2,4,4,4,4,3,1,1,1,2,1,1,1,1,2,1
6,1,1,1,1,3,1,4,2,4,2,3,4,2,2,3,4,2,3,2,3,1,1,1
7,2,1,1,2,1,3,1,3,2,4,4,2,4,3,3,2,3,2,2,2,3,2,2
8,4,2,4,3,3,1,4,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1
9,1,1,1,2,1,4,2,2,2,3,4,3,3,4,2,4,2,2,4,2,1,4,1
10,1,2,1,2,2,3,3,1,3,4,4,3,3,3,1,3,2,3,3,2,1,2,1
11,2,1,4,1,2,2,4,4,3,4,3,3,2,2,2,2,1,1,2,2,2,1,1
12,3,1,2,3,3,2,3,4,2,3,NA,3,1,1,1,1,1,1,1,1,NA,1,1
13,3,NA,1,3,2,2,3,2,2,4,4,3,3,NA,1,2,1,2,1,2,1,3,2
14,3,1,3,NA,4,4,4,4,4,3,2,1,2,2,2,3,1,1,1,1,1,2,1
15,2,2,2,2,2,2,4,3,4,3,1,2,1,3,1,2,1,1,2,1,1,4,1
16,1,1,1,1,1,1,1,1,2,1,2,2,1,3,3,3,2,3,3,4,3,3,1
17,2,1,3,1,1,4,1,2,NA,3,1,2,2,4,3,2,3,2,1,1,2,3,1
18,1,1,3,3,4,2,2,4,4,3,NA,2,4,3,2,4,2,2,2,2,NA,1,1
19,1,1,1,1,1,2,3,2,2,3,1,4,4,2,3,3,1,4,3,4,3,4,3
20,4,2,4,3,4,4,3,4,3,1,1,3,1,1,2,2,1,1,1,1,1,1,1
21,3,1,2,1,2,NA,4,3,4,4,3,3,2,2,1,2,2,2,2,2,NA,3,1
22,2,1,2,1,4,3,2,4,4,4,1,3,2,1,1,1,1,2,1,1,1,2,1
23,1,4,3,3,NA,3,1,1,3,4,4,4,2,3,4,3,1,3,1,2,NA,2,2
24,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,3,3,2,2,4,3
25,3,2,4,3,2,2,3,4,2,4,2,2,1,4,3,1,1,1,2,1,1,2,1
26,3,3,3,3,2,3,3,4,3,1,3,1,3,1,2,NA,2,1,1,1,1,1,1
27,1,1,2,2,2,2,NA,1,1,4,3,3,2,4,2,3,1,2,2,2,2,2,2
28,NA,2,4,1,4,4,4,3,2,2,2,1,1,2,NA,2,1,1,1,1,1,1,1
29,1,1,2,2,1,4,1,2,4,4,2,3,2,2,4,2,NA,2,1,1,1,1,1
30,3,3,3,3,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1
