 337|*| 43|bet |And|01 09 43.9|+35 37 14| 30.41| 25.94|  203| 2.05|M0IIIa             | 5
 338| |   |zet |Phe|01 08 23.0|-55 14 45|342.38|-55.13|  296| 3.92|B6V+B9V            | 3
 343| | 33|tet |Cas|01 11 06.1|+55 09 00| 41.80| 43.12|  141| 4.34|A7V                | 2
 351| | 84|chi |Psc|01 11 27.1|+21 02 05| 24.53| 12.44|  465| 4.66|G8.5III-IIIa       |
 352| | 83|tau |Psc|01 11 39.6|+30 05 23| 28.32| 20.74|  163| 4.51|K0IIIb             |
 360| | 85|phi |Psc|01 13 44.8|+24 35 01| 26.46| 15.50|  407| 4.66|K0III              | 3
 370| |   | nu |Phe|01 15 11.1|-45 31 54|353.40|-48.12|   49| 4.96|F8V                |
 377| |   |kap |Tuc|01 15 46.2|-68 52 34|322.27|-64.47|   67| 4.86|F6IV               | 4
 382| | 34|phi |Cas|01 20 04.8|+58 13 54| 45.51| 45.10| 7989| 4.99|F0Ia               | 5
 383| | 90|ups |Psc|01 19 27.9|+27 15 51| 28.79| 17.47|  326| 4.76|A3V                |
 390| | 46| xi |And|01 22 20.3|+45 31 44| 37.86| 33.83|  203| 4.90|K0-IIIb            |
 399| | 36|psi |Cas|01 25 56.0|+68 07 48| 54.96| 52.86|  203| 4.74|K0III              | 4
 402| | 45|tet |Cet|01 24 01.3|-08 11 01| 16.23|-15.77|  116| 3.59|K0IIIb             | 2
 403| | 37|del |Cas|01 25 48.9|+60 14 07| 47.93| 46.40|  101| 2.68|A5III-IVv          | 2
 412| | 46|    |Cet|01 25 37.1|-14 35 56| 13.95|-21.82|  296| 4.90|K2.5IIIb           |
 417| | 48|omg |And|01 27 39.2|+45 24 25| 38.80| 33.31|   93| 4.82|F5IV               | 4
 424|*|  1|alf |UMi|02 31 50.5|+89 15 51| 88.57| 66.10|  465| 2.02|F7:Ib-IIv          | 5
 429| |   |gam |Phe|01 28 21.9|-43 19 06|358.14|-47.59|  250| 3.41|M0-IIIa            |
 434| | 98| mu |Psc|01 30 11.1|+06 08 38| 23.14| -3.06|  362| 4.84|K4III              | 3
 437| | 99|eta |Psc|01 31 28.9|+15 20 45| 26.82|  5.38|  296| 3.62|G7IIIa             | 2
 440| |   |del |Phe|01 31 15.0|-49 04 22|353.62|-52.58|  148| 3.95|K0III-IV           |
 442| | 39|chi |Cas|01 33 55.9|+59 13 56| 48.42| 45.01|  217| 4.72|G9IIIb             |
 458| | 50|ups |And|01 36 47.8|+41 24 20| 38.55| 28.98|   44| 4.10|F8V                | 3
 464| | 51|    |And|01 37 59.5|+48 37 42| 42.44| 35.42|  181| 3.57|K3-III             |
 469| | 52|chi |And|01 39 20.9|+44 23 10| 40.49| 31.49|  250| 4.98|G8III              |
 472|*|   |alf |Eri|01 37 42.9|-57 14 12|345.31|-59.38|  148| 0.46|B3Vpe              |
 477| | 53|tau |And|01 40 34.7|+40 34 37| 38.90| 27.93|  501| 4.94|B8III              | 2
 483| |   |    |   |01 41 47.1|+42 36 49| 40.09| 29.70|   41| 4.96|G1.5V              | 2
 489| |106| nu |Psc|01 41 25.8|+05 29 15| 25.51| -4.69|  407| 4.44|K3-IIIbBa0.1       |
 496| |   |phi |Per|01 43 39.6|+50 41 20| 44.59| 36.85|  440| 4.06|B2Vep              |
 500| |   |    |   |01 42 43.4|-03 41 25| 22.43|-13.36|  494| 5.00|K3II-III           |
 509| | 52|tau |Cet|01 44 04.0|-15 56 15| 17.82|-24.82|   11| 3.50|G8V                | 2
 510| |110|omi |Psc|01 45 23.6|+09 09 28| 27.74| -1.62|  271| 4.26|G8III              |
